cell_order,cell_identifier,anchor,portfolio,shock,oracle_treatment,oracle_delay_steps,metric_order,metric,operationality,direction_multiplier,count,mean,standard_error,ci95_lower,ci95_upper,median,p05,p25,p75,p90,p95,positive_share
2,joint_crypto_high_correlation__empirical_crypto__oracle_delay_central,empirical_crypto__joint_crypto_high_correlation,empirical_crypto,joint_crypto_high_correlation,oracle_delay_central,1,20,liquidation_completion_ratio,operational,-1,78,0.8579763732003142,0.02945099511686378,0.8002524227712612,0.9157003236293672,0.9993252543061895,0.15976325819103265,0.8081765313193883,1.0,1.0000000000000002,1.0000000000000002,0.9615384615384616
2,joint_crypto_high_correlation__empirical_crypto__oracle_delay_central,empirical_crypto__joint_crypto_high_correlation,empirical_crypto,joint_crypto_high_correlation,oracle_delay_central,1,21,peak_eligible_tab_share,operational,1,128,0.02106443561693573,0.004616673746994043,0.012015755072827407,0.030113116161044055,0.0004978540167402471,0.0,0.0,0.00858920655572468,0.054408493386313116,0.15798940848852808,0.609375
2,joint_crypto_high_correlation__empirical_crypto__oracle_delay_central,empirical_crypto__joint_crypto_high_correlation,empirical_crypto,joint_crypto_high_correlation,oracle_delay_central,1,22,peak_new_eligible_tab_share,operational,1,128,0.019508253374947652,0.004288471128068175,0.01110284996393403,0.027913656785961277,0.0004978540167402471,0.0,0.0,0.008427297503643126,0.0531566379181172,0.1319867633184418,0.609375
2,joint_crypto_high_correlation__empirical_crypto__oracle_delay_central,empirical_crypto__joint_crypto_high_correlation,empirical_crypto,joint_crypto_high_correlation,oracle_delay_central,1,23,peak_selected_attempts,operational,1,128,3.5625,0.4195560904004684,2.740170062815082,4.384829937184918,2.0,0.0,0.0,6.0,10.0,13.649999999999991,0.5859375
2,joint_crypto_high_correlation__empirical_crypto__oracle_delay_central,empirical_crypto__joint_crypto_high_correlation,empirical_crypto,joint_crypto_high_correlation,oracle_delay_central,1,24,peak_successful_closures,operational,1,128,3.203125,0.37176415174494404,2.4744672625799096,3.9317827374200904,2.0,0.0,0.0,5.0,9.0,11.0,0.5859375
2,joint_crypto_high_correlation__empirical_crypto__oracle_delay_central,empirical_crypto__joint_crypto_high_correlation,empirical_crypto,joint_crypto_high_correlation,oracle_delay_central,1,25,hours_for_half_eligible_tab,operational,1,128,0.7421875,0.06100182099022959,0.62262393085915,0.86175106914085,1.0,0.0,0.0,1.0,2.0,2.0,0.609375
2,joint_crypto_high_correlation__empirical_crypto__oracle_delay_central,empirical_crypto__joint_crypto_high_correlation,empirical_crypto,joint_crypto_high_correlation,oracle_delay_central,1,26,five_busiest_eligible_tab_share,operational,1,128,0.5970580893636699,0.04251043418176916,0.5137376383674024,0.6803785403599374,0.9597419725639558,0.0,0.0,1.0,1.0,1.0,0.609375
2,joint_crypto_high_correlation__empirical_crypto__oracle_delay_central,empirical_crypto__joint_crypto_high_correlation,empirical_crypto,joint_crypto_high_correlation,oracle_delay_central,1,27,capacity_binding_hours,degenerate,1,128,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2,joint_crypto_high_correlation__empirical_crypto__oracle_delay_central,empirical_crypto__joint_crypto_high_correlation,empirical_crypto,joint_crypto_high_correlation,oracle_delay_central,1,28,capacity_rejected_opportunity_count,degenerate,1,128,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2,joint_crypto_high_correlation__empirical_crypto__oracle_delay_central,empirical_crypto__joint_crypto_high_correlation,empirical_crypto,joint_crypto_high_correlation,oracle_delay_central,1,29,successful_closure_count,operational,1,128,8.15625,1.0542283102898231,6.089962511831947,10.222537488168053,2.0,0.0,0.0,14.0,24.299999999999997,31.0,0.5859375
2,joint_crypto_high_correlation__empirical_crypto__oracle_delay_central,empirical_crypto__joint_crypto_high_correlation,empirical_crypto,joint_crypto_high_correlation,oracle_delay_central,1,30,liquidated_debt_share,operational,1,128,0.02524614961359636,0.005435745414172292,0.01459208860181867,0.03590021062537405,0.0005370668089032561,0.0,0.0,0.011864913397681287,0.07037565927330472,0.1737658991299291,0.5859375
2,joint_crypto_high_correlation__empirical_crypto__oracle_delay_central,empirical_crypto__joint_crypto_high_correlation,empirical_crypto,joint_crypto_high_correlation,oracle_delay_central,1,31,debt_weighted_liquidated_vault_share,operational,1,128,0.02524614961359636,0.005435745414172292,0.01459208860181867,0.03590021062537405,0.0005370668089032561,0.0,0.0,0.011864913397681287,0.0703756592733047,0.1737658991299291,0.5859375
2,joint_crypto_high_correlation__empirical_crypto__oracle_delay_central,empirical_crypto__joint_crypto_high_correlation,empirical_crypto,joint_crypto_high_correlation,oracle_delay_central,1,32,realised_bad_debt_share,degenerate,1,128,6.135842889447375e-20,6.135842889447373e-20,-5.890409173869477e-20,1.8162094952764226e-19,0.0,0.0,0.0,0.0,0.0,0.0,0.0078125
2,joint_crypto_high_correlation__empirical_crypto__oracle_delay_central,empirical_crypto__joint_crypto_high_correlation,empirical_crypto,joint_crypto_high_correlation,oracle_delay_central,1,33,positive_realised_bad_debt,degenerate,1,128,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2,joint_crypto_high_correlation__empirical_crypto__oracle_delay_central,empirical_crypto__joint_crypto_high_correlation,empirical_crypto,joint_crypto_high_correlation,oracle_delay_central,1,34,terminal_active_bad_debt_share,degenerate,1,128,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2,joint_crypto_high_correlation__empirical_crypto__oracle_delay_central,empirical_crypto__joint_crypto_high_correlation,empirical_crypto,joint_crypto_high_correlation,oracle_delay_central,1,35,below_peg_burden,operational,1,128,0.26573735733407927,0.004429321061590217,0.25705588805336244,0.2744188266147961,0.2611188867348968,0.19027597824060033,0.2351654513947821,0.2922824941964385,0.3357395232206026,0.35351421629069185,1.0
2,joint_crypto_high_correlation__empirical_crypto__oracle_delay_central,empirical_crypto__joint_crypto_high_correlation,empirical_crypto,joint_crypto_high_correlation,oracle_delay_central,1,36,mean_absolute_peg_deviation,operational,1,128,0.0006027275551807701,6.544235599836368e-06,0.0005899008534050908,0.0006155542569564494,0.0006036192282060733,0.0004798236752275121,0.0005461204591283339,0.0006602929112880015,0.0006956110524163097,0.0007239659266357082,1.0
2,joint_crypto_high_correlation__empirical_crypto__oracle_delay_central,empirical_crypto__joint_crypto_high_correlation,empirical_crypto,joint_crypto_high_correlation,oracle_delay_central,1,37,minimum_dai_price,operational,-1,128,0.9958418344003704,9.79953795986738e-05,0.995649763456357,0.9960339053443839,0.9960180270200536,0.9941428198490697,0.9951791977815344,0.996737081710873,0.9971107571339368,0.9973160104079624,1.0
2,joint_crypto_high_correlation__empirical_crypto__oracle_delay_central,empirical_crypto__joint_crypto_high_correlation,empirical_crypto,joint_crypto_high_correlation,oracle_delay_central,1,38,restricted_mean_recovery_time,operational,1,128,74.7578125,13.385913137817223,48.52142274987824,100.99420225012176,0.0,0.0,0.0,0.0,333.2,402.95,0.2265625
