arrival_pool_row_id,relative_hour,timestamp_utc,source_window,empirical_regime_label,liquidatable_vault_count,liquidatable_share,bark_count,grab_count,activity_indicator,positive_count_eligible,sequence_id
209,208,2022-05-13T16:00:00+0000,terra_cefi,terra_cefi,0,0.0,0,0,0,0,
210,209,2022-05-13T17:00:00+0000,terra_cefi,terra_cefi,0,0.0,0,0,0,0,
211,210,2022-05-13T18:00:00+0000,terra_cefi,terra_cefi,0,0.0,0,0,0,0,
212,211,2022-05-13T19:00:00+0000,terra_cefi,terra_cefi,0,0.0,0,0,0,0,
213,212,2022-05-13T20:00:00+0000,terra_cefi,terra_cefi,0,0.0,0,0,0,0,
214,213,2022-05-13T21:00:00+0000,terra_cefi,terra_cefi,0,0.0,0,0,0,0,
215,214,2022-05-13T22:00:00+0000,terra_cefi,terra_cefi,0,0.0,0,0,0,0,
216,215,2022-05-13T23:00:00+0000,terra_cefi,terra_cefi,0,0.0,0,0,0,0,
217,216,2022-05-14T00:00:00+0000,terra_cefi,terra_cefi,0,0.0,0,0,0,0,
218,217,2022-05-14T01:00:00+0000,terra_cefi,terra_cefi,0,0.0,0,0,0,0,
219,218,2022-05-14T02:00:00+0000,terra_cefi,terra_cefi,0,0.0,0,0,0,0,
220,219,2022-05-14T03:00:00+0000,terra_cefi,terra_cefi,0,0.0,0,0,0,0,
221,220,2022-05-14T04:00:00+0000,terra_cefi,terra_cefi,0,0.0,0,0,0,0,
222,221,2022-05-14T05:00:00+0000,terra_cefi,terra_cefi,0,0.0,0,0,0,0,
223,222,2022-05-14T06:00:00+0000,terra_cefi,terra_cefi,0,0.0,0,0,0,0,
224,223,2022-05-14T07:00:00+0000,terra_cefi,terra_cefi,0,0.0,0,0,0,0,
225,224,2022-05-14T08:00:00+0000,terra_cefi,terra_cefi,0,0.0,0,0,0,0,
226,225,2022-05-14T09:00:00+0000,terra_cefi,terra_cefi,0,0.0,0,0,0,0,
227,226,2022-05-14T10:00:00+0000,terra_cefi,terra_cefi,0,0.0,0,0,0,0,
228,227,2022-05-14T11:00:00+0000,terra_cefi,terra_cefi,2,0.0004606172270842,0,0,0,0,
229,228,2022-05-14T12:00:00+0000,terra_cefi,terra_cefi,1,0.0002303086135421,0,0,0,0,
230,229,2022-05-14T13:00:00+0000,terra_cefi,terra_cefi,2,0.0004607233356369,0,0,0,0,
231,230,2022-05-14T14:00:00+0000,terra_cefi,terra_cefi,2,0.0004606172270842,0,0,0,0,
232,231,2022-05-14T15:00:00+0000,terra_cefi,terra_cefi,2,0.0004606172270842,0,0,0,0,
233,232,2022-05-14T16:00:00+0000,terra_cefi,terra_cefi,0,0.0,0,0,0,0,
234,233,2022-05-14T17:00:00+0000,terra_cefi,terra_cefi,0,0.0,0,0,0,0,
235,234,2022-05-14T18:00:00+0000,terra_cefi,terra_cefi,0,0.0,0,0,0,0,
236,235,2022-05-14T19:00:00+0000,terra_cefi,terra_cefi,0,0.0,0,0,0,0,
