cell_order,cell_identifier,anchor,portfolio,shock,capacity,metric_order,metric,operationality,direction_multiplier,count,mean,standard_error,ci95_lower,ci95_upper,median,p05,p25,p75,p90,p95,positive_share
6,joint_crypto_stable_stress__stable_supported__shared_keeper_capacity_high,stable_supported__joint_crypto_stable_stress,stable_supported,joint_crypto_stable_stress,45,14,mean_positive_demand_utilisation,operational,1,128,0.01653194950789523,0.0026083354612442882,0.011419612003856425,0.021644287011934035,0.0,0.0,0.0,0.02841591591591592,0.06547008547008545,0.06856084656084654,0.3125
6,joint_crypto_stable_stress__stable_supported__shared_keeper_capacity_high,stable_supported__joint_crypto_stable_stress,stable_supported,joint_crypto_stable_stress,45,15,positive_demand_binding_share,operational,1,128,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
6,joint_crypto_stable_stress__stable_supported__shared_keeper_capacity_high,stable_supported__joint_crypto_stable_stress,stable_supported,joint_crypto_stable_stress,45,16,all_hour_binding_share,operational,1,128,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
6,joint_crypto_stable_stress__stable_supported__shared_keeper_capacity_high,stable_supported__joint_crypto_stable_stress,stable_supported,joint_crypto_stable_stress,45,17,unused_capacity_positive_demand_hours,operational,1,128,130.921875,34.43090409305616,63.43730297760993,198.40644702239007,0.0,0.0,0.0,44.0,369.89999999999975,788.6999999999998,0.3125
6,joint_crypto_stable_stress__stable_supported__shared_keeper_capacity_high,stable_supported__joint_crypto_stable_stress,stable_supported,joint_crypto_stable_stress,45,18,realised_bad_debt_share,degenerate,1,128,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
6,joint_crypto_stable_stress__stable_supported__shared_keeper_capacity_high,stable_supported__joint_crypto_stable_stress,stable_supported,joint_crypto_stable_stress,45,19,positive_realised_bad_debt,degenerate,1,128,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
6,joint_crypto_stable_stress__stable_supported__shared_keeper_capacity_high,stable_supported__joint_crypto_stable_stress,stable_supported,joint_crypto_stable_stress,45,20,terminal_active_bad_debt_share,degenerate,1,128,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
6,joint_crypto_stable_stress__stable_supported__shared_keeper_capacity_high,stable_supported__joint_crypto_stable_stress,stable_supported,joint_crypto_stable_stress,45,21,below_peg_burden,operational,1,128,0.2688337859114277,0.004934193136561869,0.2591627673637664,0.278504804459089,0.26650323103623713,0.1900451269076732,0.2226058511364797,0.31184460204973624,0.3377690099405003,0.3553926706816668,1.0
6,joint_crypto_stable_stress__stable_supported__shared_keeper_capacity_high,stable_supported__joint_crypto_stable_stress,stable_supported,joint_crypto_stable_stress,45,22,mean_absolute_peg_deviation,operational,1,128,0.0006132159093165351,6.436918107237603e-06,0.0006005995498263494,0.0006258322688067208,0.000612679957992445,0.0005029312774314378,0.0005676938454709701,0.0006513100560725055,0.0006966279071832178,0.0007508856367405178,1.0
6,joint_crypto_stable_stress__stable_supported__shared_keeper_capacity_high,stable_supported__joint_crypto_stable_stress,stable_supported,joint_crypto_stable_stress,45,23,minimum_dai_price,operational,-1,128,0.9958593656378814,8.488008479530874e-05,0.9956930006716825,0.9960257306040802,0.9960000424458897,0.994226860466237,0.9951182836280985,0.9966725003525806,0.9970619888627118,0.9972530119665657,1.0
6,joint_crypto_stable_stress__stable_supported__shared_keeper_capacity_high,stable_supported__joint_crypto_stable_stress,stable_supported,joint_crypto_stable_stress,45,24,restricted_mean_recovery_time,operational,1,128,81.640625,15.653355115593492,50.960048973436756,112.32120102656324,0.0,0.0,0.0,0.0,393.0,504.9,0.2265625
6,joint_crypto_stable_stress__stable_supported__shared_keeper_capacity_high,stable_supported__joint_crypto_stable_stress,stable_supported,joint_crypto_stable_stress,45,25,recovery_probability_720h,degenerate,-1,128,1.0,0.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
7,joint_crypto_stable_stress__stable_heavy__shared_keeper_capacity_low,stable_heavy__joint_crypto_stable_stress,stable_heavy,joint_crypto_stable_stress,14,1,backlog_area_share,operational,1,128,0.003012740682827167,0.0019337835836868225,-0.0007774751411990049,0.0068029565068533394,0.0,0.0,0.0,0.0,0.00045695507723075574,0.0012689757642703964,0.109375
7,joint_crypto_stable_stress__stable_heavy__shared_keeper_capacity_low,stable_heavy__joint_crypto_stable_stress,stable_heavy,joint_crypto_stable_stress,14,2,maximum_unresolved_tab_share,operational,1,128,0.001013391406274084,0.0006993221450532696,-0.00035727999803032424,0.0023840628105784925,0.0,0.0,0.0,0.0,0.0001419499916583474,0.0006172248842467301,0.109375
7,joint_crypto_stable_stress__stable_heavy__shared_keeper_capacity_low,stable_heavy__joint_crypto_stable_stress,stable_heavy,joint_crypto_stable_stress,14,3,terminal_unresolved_tab_share,operational,1,128,1.456349451761423e-06,1.4563494517614234e-06,-1.3980954736909667e-06,4.310794377213813e-06,0.0,0.0,0.0,0.0,0.0,0.0,0.0078125
7,joint_crypto_stable_stress__stable_heavy__shared_keeper_capacity_low,stable_heavy__joint_crypto_stable_stress,stable_heavy,joint_crypto_stable_stress,14,4,liquidation_completion_ratio,operational,-1,15,0.763127787502885,0.10363942755842473,0.5599945094883725,0.9662610655173975,0.9674681343523147,0.0,0.7912176888011644,1.0,1.0,1.0,0.8
7,joint_crypto_stable_stress__stable_heavy__shared_keeper_capacity_low,stable_heavy__joint_crypto_stable_stress,stable_heavy,joint_crypto_stable_stress,14,5,capacity_rejected_opportunity_count,operational,1,128,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
7,joint_crypto_stable_stress__stable_heavy__shared_keeper_capacity_low,stable_heavy__joint_crypto_stable_stress,stable_heavy,joint_crypto_stable_stress,14,6,capacity_rejection_share,operational,1,13,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
7,joint_crypto_stable_stress__stable_heavy__shared_keeper_capacity_low,stable_heavy__joint_crypto_stable_stress,stable_heavy,joint_crypto_stable_stress,14,7,successful_closure_count,operational,-1,128,0.8046875,0.34332401912052246,0.13177242252377597,1.477602577476224,0.0,0.0,0.0,0.0,0.0,3.6499999999999915,0.09375
7,joint_crypto_stable_stress__stable_heavy__shared_keeper_capacity_low,stable_heavy__joint_crypto_stable_stress,stable_heavy,joint_crypto_stable_stress,14,8,liquidated_debt_share,operational,-1,128,0.0018376840366452164,0.000927208417899192,2.0355537562799942e-05,0.003655012535727633,0.0,0.0,0.0,0.0,0.0,0.0021375532180786068,0.09375
7,joint_crypto_stable_stress__stable_heavy__shared_keeper_capacity_low,stable_heavy__joint_crypto_stable_stress,stable_heavy,joint_crypto_stable_stress,14,9,debt_weighted_liquidated_vault_share,operational,-1,128,0.0018376840366452164,0.000927208417899192,2.0355537562799942e-05,0.003655012535727633,0.0,0.0,0.0,0.0,0.0,0.0021375532180786063,0.09375
7,joint_crypto_stable_stress__stable_heavy__shared_keeper_capacity_low,stable_heavy__joint_crypto_stable_stress,stable_heavy,joint_crypto_stable_stress,14,10,hours_with_positive_unresolved_backlog,operational,1,128,1.0078125,0.3836752591027841,0.25580899215854314,1.7598160078414569,0.0,0.0,0.0,0.0,1.2999999999999972,4.6499999999999915,0.109375
7,joint_crypto_stable_stress__stable_heavy__shared_keeper_capacity_low,stable_heavy__joint_crypto_stable_stress,stable_heavy,joint_crypto_stable_stress,14,11,capacity_binding_hours,operational,1,128,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
7,joint_crypto_stable_stress__stable_heavy__shared_keeper_capacity_low,stable_heavy__joint_crypto_stable_stress,stable_heavy,joint_crypto_stable_stress,14,12,mean_capacity_utilisation,operational,1,128,0.00010230654761904761,4.2274804127288616e-05,1.944793152956192e-05,0.0001851651637085333,0.0,0.0,0.0,0.0,2.976190476190448e-05,0.0005257936507936491,0.1015625
7,joint_crypto_stable_stress__stable_heavy__shared_keeper_capacity_low,stable_heavy__joint_crypto_stable_stress,stable_heavy,joint_crypto_stable_stress,14,13,maximum_capacity_utilisation,operational,1,128,0.027901785714285712,0.009997663854903322,0.0083063645586752,0.047497206869896225,0.0,0.0,0.0,0.0,0.021428571428571224,0.14285714285714285,0.1015625
7,joint_crypto_stable_stress__stable_heavy__shared_keeper_capacity_low,stable_heavy__joint_crypto_stable_stress,stable_heavy,joint_crypto_stable_stress,14,14,mean_positive_demand_utilisation,operational,1,128,0.013385247564935063,0.003993683636946441,0.005557627636520039,0.021212867493350086,0.0,0.0,0.0,0.0,0.021428571428571224,0.09691558441558415,0.1015625
7,joint_crypto_stable_stress__stable_heavy__shared_keeper_capacity_low,stable_heavy__joint_crypto_stable_stress,stable_heavy,joint_crypto_stable_stress,14,15,positive_demand_binding_share,operational,1,128,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
7,joint_crypto_stable_stress__stable_heavy__shared_keeper_capacity_low,stable_heavy__joint_crypto_stable_stress,stable_heavy,joint_crypto_stable_stress,14,16,all_hour_binding_share,operational,1,128,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
7,joint_crypto_stable_stress__stable_heavy__shared_keeper_capacity_low,stable_heavy__joint_crypto_stable_stress,stable_heavy,joint_crypto_stable_stress,14,17,unused_capacity_positive_demand_hours,operational,1,128,5.421875,1.8471557652609623,1.8014497000885141,9.042300299911485,0.0,0.0,0.0,0.0,3.899999999999963,39.64999999999982,0.1015625
7,joint_crypto_stable_stress__stable_heavy__shared_keeper_capacity_low,stable_heavy__joint_crypto_stable_stress,stable_heavy,joint_crypto_stable_stress,14,18,realised_bad_debt_share,degenerate,1,128,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
7,joint_crypto_stable_stress__stable_heavy__shared_keeper_capacity_low,stable_heavy__joint_crypto_stable_stress,stable_heavy,joint_crypto_stable_stress,14,19,positive_realised_bad_debt,degenerate,1,128,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
7,joint_crypto_stable_stress__stable_heavy__shared_keeper_capacity_low,stable_heavy__joint_crypto_stable_stress,stable_heavy,joint_crypto_stable_stress,14,20,terminal_active_bad_debt_share,degenerate,1,128,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
7,joint_crypto_stable_stress__stable_heavy__shared_keeper_capacity_low,stable_heavy__joint_crypto_stable_stress,stable_heavy,joint_crypto_stable_stress,14,21,below_peg_burden,operational,1,128,0.2688337859114277,0.004934193136561869,0.2591627673637664,0.278504804459089,0.26650323103623713,0.1900451269076732,0.2226058511364797,0.31184460204973624,0.3377690099405003,0.3553926706816668,1.0
7,joint_crypto_stable_stress__stable_heavy__shared_keeper_capacity_low,stable_heavy__joint_crypto_stable_stress,stable_heavy,joint_crypto_stable_stress,14,22,mean_absolute_peg_deviation,operational,1,128,0.0006132159093165351,6.436918107237603e-06,0.0006005995498263494,0.0006258322688067208,0.000612679957992445,0.0005029312774314378,0.0005676938454709701,0.0006513100560725055,0.0006966279071832178,0.0007508856367405178,1.0
7,joint_crypto_stable_stress__stable_heavy__shared_keeper_capacity_low,stable_heavy__joint_crypto_stable_stress,stable_heavy,joint_crypto_stable_stress,14,23,minimum_dai_price,operational,-1,128,0.9958593656378814,8.488008479530874e-05,0.9956930006716825,0.9960257306040802,0.9960000424458897,0.994226860466237,0.9951182836280985,0.9966725003525806,0.9970619888627118,0.9972530119665657,1.0
7,joint_crypto_stable_stress__stable_heavy__shared_keeper_capacity_low,stable_heavy__joint_crypto_stable_stress,stable_heavy,joint_crypto_stable_stress,14,24,restricted_mean_recovery_time,operational,1,128,81.640625,15.653355115593492,50.960048973436756,112.32120102656324,0.0,0.0,0.0,0.0,393.0,504.9,0.2265625
7,joint_crypto_stable_stress__stable_heavy__shared_keeper_capacity_low,stable_heavy__joint_crypto_stable_stress,stable_heavy,joint_crypto_stable_stress,14,25,recovery_probability_720h,degenerate,-1,128,1.0,0.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
8,joint_crypto_stable_stress__stable_heavy__shared_keeper_capacity_central,stable_heavy__joint_crypto_stable_stress,stable_heavy,joint_crypto_stable_stress,26,1,backlog_area_share,operational,1,128,0.003012740682827167,0.0019337835836868225,-0.0007774751411990049,0.0068029565068533394,0.0,0.0,0.0,0.0,0.00045695507723075574,0.0012689757642703964,0.109375
8,joint_crypto_stable_stress__stable_heavy__shared_keeper_capacity_central,stable_heavy__joint_crypto_stable_stress,stable_heavy,joint_crypto_stable_stress,26,2,maximum_unresolved_tab_share,operational,1,128,0.001013391406274084,0.0006993221450532696,-0.00035727999803032424,0.0023840628105784925,0.0,0.0,0.0,0.0,0.0001419499916583474,0.0006172248842467301,0.109375
